               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 126,              1.2478,              1.0848,              1.7118,             0.92755,             0.85355,             0.91697,             0.68925,                   0,                   0,                   0,            0.005875,            0.005875,            0.005875
                 127,              1.1975,              0.9964,              1.6863,             0.91919,             0.85311,             0.92218,             0.68421,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                 128,              1.2021,             0.99883,               1.653,              0.8639,             0.84636,             0.84356,             0.61637,                   0,                   0,                   0,            0.005809,            0.005809,            0.005809
                 129,              1.1375,               1.046,              1.6164,             0.89841,              0.8875,             0.90062,              0.6679,                   0,                   0,                   0,            0.005776,            0.005776,            0.005776
                 130,              1.1712,              1.0221,              1.6435,             0.94012,             0.85833,              0.9251,             0.68932,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                 131,              1.1293,             0.93816,              1.5992,             0.91745,                0.85,             0.93049,             0.70009,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                 132,              1.1981,             0.98116,              1.6602,             0.93229,             0.86051,             0.92467,             0.69112,                   0,                   0,                   0,            0.005677,            0.005677,            0.005677
                 133,              1.2603,             0.99335,              1.7035,              0.8801,                0.85,             0.88275,             0.65229,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                 134,              1.1729,             0.96952,              1.6046,             0.88319,             0.85057,             0.88915,             0.65782,                   0,                   0,                   0,            0.005611,            0.005611,            0.005611
                 135,              1.1516,              1.0661,               1.604,             0.86756,             0.86667,             0.88495,             0.66472,                   0,                   0,                   0,            0.005578,            0.005578,            0.005578
                 136,              1.1797,             0.99502,              1.5897,             0.89029,             0.85833,             0.89684,             0.67002,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                 137,              1.1011,              0.9545,              1.5339,             0.90755,             0.81804,             0.87802,             0.65858,                   0,                   0,                   0,            0.005512,            0.005512,            0.005512
                 138,              1.1497,             0.96926,              1.5764,             0.93503,             0.84167,             0.91964,             0.68828,                   0,                   0,                   0,            0.005479,            0.005479,            0.005479
                 139,                1.15,             0.92776,              1.6551,             0.97062,               0.825,              0.9291,             0.69998,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                 140,              1.1754,             0.97219,              1.6321,             0.91152,             0.85851,             0.93021,             0.69863,                   0,                   0,                   0,            0.005413,            0.005413,            0.005413
                 141,              1.1588,             0.94674,              1.6088,              0.9298,             0.83333,             0.92391,             0.68629,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                 142,              1.2135,              1.0209,              1.6823,             0.90439,             0.86709,             0.92822,             0.68911,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                 143,              1.1662,              0.9111,              1.6043,             0.89296,             0.86898,             0.92457,             0.69576,                   0,                   0,                   0,            0.005314,            0.005314,            0.005314
                 144,              1.1701,              1.0307,              1.6731,             0.84503,             0.87083,             0.86596,             0.64175,                   0,                   0,                   0,            0.005281,            0.005281,            0.005281
                 145,               1.201,              1.0422,              1.6708,             0.93249,             0.86667,             0.92797,             0.69764,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                 146,              1.1776,               1.043,              1.6758,             0.91203,             0.86401,             0.91648,             0.67748,                   0,                   0,                   0,            0.005215,            0.005215,            0.005215
                 147,              1.1696,             0.96081,              1.6206,             0.89444,             0.84733,              0.9004,             0.66465,                   0,                   0,                   0,            0.005182,            0.005182,            0.005182
                 148,              1.1322,             0.95239,              1.6239,             0.91408,             0.88658,             0.93563,             0.70738,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                 149,              1.1053,             0.92734,               1.537,             0.94939,             0.85987,             0.92972,             0.69766,                   0,                   0,                   0,            0.005116,            0.005116,            0.005116
                 150,              1.1144,             0.95284,               1.597,             0.90296,             0.89171,               0.924,              0.6886,                   0,                   0,                   0,            0.005083,            0.005083,            0.005083
                 151,              1.1084,             0.96679,              1.5917,              0.9325,             0.84167,             0.90554,             0.67353,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                 152,              1.1839,             0.97614,              1.6421,              0.8714,             0.87527,             0.88585,             0.65869,                   0,                   0,                   0,            0.005017,            0.005017,            0.005017
                 153,              1.1195,             0.91302,              1.5967,             0.91147,             0.86667,              0.9006,             0.66301,                   0,                   0,                   0,            0.004984,            0.004984,            0.004984
                 154,              1.2132,              1.0072,               1.703,             0.89727,              0.8625,             0.90988,             0.66838,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                 155,              1.2092,             0.99108,              1.6825,             0.92575,              0.8625,             0.91865,             0.68093,                   0,                   0,                   0,            0.004918,            0.004918,            0.004918
                 156,              1.1424,              0.9863,              1.6207,             0.94221,             0.81518,             0.91541,             0.67281,                   0,                   0,                   0,            0.004885,            0.004885,            0.004885
                 157,              1.1664,             0.91118,              1.6031,             0.90656,             0.85833,             0.92911,             0.68931,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                 158,              1.1793,               1.041,              1.6472,             0.90959,             0.85833,             0.90506,             0.65754,                   0,                   0,                   0,            0.004819,            0.004819,            0.004819
                 159,              1.1659,             0.97849,              1.6334,             0.92428,             0.86466,             0.92432,             0.69732,                   0,                   0,                   0,            0.004786,            0.004786,            0.004786
                 160,              1.1622,             0.95466,               1.608,             0.95904,             0.87813,             0.93557,             0.70685,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                 161,              1.1331,             0.93794,              1.5742,             0.92117,             0.87083,             0.92116,             0.69392,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                 162,              1.0909,              0.9067,              1.5884,             0.83779,               0.825,              0.8036,             0.59302,                   0,                   0,                   0,            0.004687,            0.004687,            0.004687
                 163,              1.1595,             0.95473,              1.6288,             0.96675,             0.84167,             0.93237,             0.69799,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                 164,              1.1733,             0.96963,              1.6033,             0.92575,             0.88315,             0.93969,             0.69347,                   0,                   0,                   0,            0.004621,            0.004621,            0.004621
                 165,              1.1222,             0.93601,              1.5744,             0.91151,              0.8875,             0.93736,             0.69298,                   0,                   0,                   0,            0.004588,            0.004588,            0.004588
                 166,              1.0838,             0.88258,              1.5702,             0.95063,              0.8625,             0.92947,             0.68782,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                 167,              1.1463,             0.90657,              1.5877,             0.96375,             0.88617,             0.94476,             0.70218,                   0,                   0,                   0,            0.004522,            0.004522,            0.004522
